time,steer,accel,brake,gear,speedX,speedY,speedZ,frontLeftSpin,frontRightSpin,rearLeftSpin,rearRightSpin,trackPos,distFromStart,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,focus_0,focus_1,focus_2,focus_3,focus_4
48.106,0.419653,1.3668507441414217e-22,4.422275926855574e-05,4,77.9636,-4.87429,-4.60658,72.9993,68.9424,70.832,66.7428,0.783528,2459.61,-0.0630263,5787.74,4.0,1.80938,41.581,48.3775,52.9967,24.826,23.619,23.1414,22.7442,22.4709,22.2056,21.9483,21.6984,21.3607,20.9912,20.3422,19.195,17.6453,16.0395,12.8968,-1.0,-1.0,-1.0,-1.0,-1.0
11.79,0.3541436363636364,0.0168145567359907,2.3275946841589144e-21,4,100.136,-2.41615,-2.63727,93.6058,89.775,90.2135,86.265,0.723433,470.233,0.0560434,7424.63,0.0,2.49015,6.09863,36.9602,33.8451,32.0731,31.216,30.7666,30.3776,30.1023,29.8292,29.5582,29.2894,28.9168,28.4965,27.7234,26.2352,23.9326,21.0757,13.8135,-1.0,-1.0,-1.0,-1.0,-1.0
33.386,-0.0819845454545454,0.9999999997602728,4.772394730955927e-25,4,152.227,1.09835,5.58078,137.568,141.29,140.059,140.059,0.657529,1580.67,-0.0334666,11788.7,0.0,2.8455,6.36234,11.8911,85.8308,66.0685,59.3003,56.2429,53.8234,52.2235,50.7196,49.3036,47.968,46.2211,44.382,41.3212,36.3798,30.3763,24.2953,13.773,-1.0,-1.0,-1.0,-1.0,-1.0
18.014,-0.2412238636363636,7.55948158328682e-08,2.0548464156371057e-06,4,138.355,8.6901,0.140458,125.152,128.12,119.465,122.913,0.241745,734.792,0.320338,10196.7,0.0,8.77277,20.4144,26.6258,31.8668,35.2589,37.0088,37.9543,38.7878,39.3863,39.9874,40.5907,41.1962,42.0472,43.0239,44.8647,48.5694,54.7403,15.735,8.55139,-1.0,-1.0,-1.0,-1.0,-1.0
45.106,-0.1625,7.533931929047494e-05,0.008745007881492,4,217.263,-0.492724,18.259,198.824,200.232,189.917,192.018,-0.844003,2353.66,0.0209424,16067.4,9.0,14.9968,25.8772,32.6727,40.6698,47.8826,52.6028,55.5385,58.3997,60.6366,63.0566,65.6833,68.5436,73.0033,79.4322,104.315,98.3883,4.78389,2.86424,1.3051,-1.0,-1.0,-1.0,-1.0,-1.0
37.926,0.1625,0.0042282825852453,0.9681355187109376,4,244.543,-5.60305,5.13674,184.603,178.447,207.605,206.157,-0.497877,1885.98,-0.14911,17395.9,0.0,11.1739,19.4353,25.6108,33.622,65.5565,63.6547,62.6169,61.6873,61.0106,60.3231,59.6244,58.9144,57.9005,56.7123,54.3927,49.3268,38.6666,16.5999,5.07012,-1.0,-1.0,-1.0,-1.0,-1.0
33.326,0.1625,0.9999999760813278,3.1020490489674247e-25,4,165.309,-5.85624,6.524,152.08,149.797,153.409,153.409,-0.28503,1582.2,0.0397496,12911.2,0.0,12.0584,200.0,63.3519,39.3095,32.1095,29.3486,27.9825,26.8459,26.0669,25.3148,24.5892,23.8896,22.952,21.9388,20.1975,17.2675,13.6778,10.4497,5.72996,-1.0,-1.0,-1.0,-1.0,-1.0
2.314,0.3538452272727273,0.9999999999999998,0.0,4,100.237,-0.0287858,1.72194,92.1678,90.9553,92.8068,92.8068,0.075503,21.9026,0.0775128,7812.89,0.0,8.76161,27.9666,80.1279,184.249,91.1417,67.5258,59.3411,53.6589,50.228,47.2128,44.5424,42.1609,39.2295,36.348,31.963,25.7945,19.6111,14.8297,8.3716,-1.0,-1.0,-1.0,-1.0,-1.0
46.766,0.3473865909090908,1.3530384219578222e-13,0.0001812452715347,4,102.423,-3.18571,-2.17015,95.9317,91.7078,92.3132,87.8491,-0.183276,2425.66,-0.210598,7579.48,7.0,8.45901,17.6241,39.2594,36.3287,34.4188,33.4382,32.9094,32.4437,32.1093,31.7736,31.4366,31.0984,30.623,30.0771,29.0467,26.9742,23.5594,19.1,8.91224,-1.0,-1.0,-1.0,-1.0,-1.0
11.03,0.3484561363636363,4.305322794954304e-19,4.1516924350336906e-08,4,102.061,-6.93156,-2.92649,95.1155,91.1048,91.8875,87.6753,0.201319,452.95,-0.00293314,7554.07,0.0,7.37135,43.268,36.9764,32.2984,29.3887,27.8922,27.0805,26.3624,25.8489,25.3546,24.8806,24.4259,23.8195,23.1664,22.0448,20.137,17.6707,14.9685,9.47761,-1.0,-1.0,-1.0,-1.0,-1.0
